ean,product_title,shop_sku,current_price,first_place_price,second_place_price,first_place_shop,gap_to_first,active_competitors,winnable_2pct,winnable_5pct
4549821546206,"Módulo de memória 32 Gb 1 X 32 Gb Hewlett Packard Enterprise",EZ4549821546206,294.37,1334.85,,"Multishop PT",-1040.48,1,YES,YES
5397184937969,"Laptop Dell V234p (16 Gb Ram 512 Gb Ssd Alumínio Tomada Eu 16 Qwerty Espanhol Intel)",EZ5397184937969,2072.58,2423.72,,"M4BIT",-351.14,1,YES,YES
0765441868267,"Ddr5 Teamgroup T Force Delta Rgb 16gb X2 6000 Negro Cl30 39 39 76 1.4v Team Group",EZ0765441868267,161.11,467.06,479.59,"Infopavon",-305.95,2,YES,YES
0190017570877,"Hewlett Packard Enterprise Windows Server 2022 1 Licenças Licença Alemão Inglês Espanhol Francês",EZ0190017570877,1027.07,1297.26,,"GreaTecno",-270.19,1,YES,YES
0077802156938,"Batom Duo Brilho Labial Megalast Lock N Shine Wet N Wild",EZ0077802156938,16.49,263.53,,"M4BIT",-247.04,1,YES,YES
0077802118806,"Wet n Wild Brow-sessive Brow Shaping Gel Blonde",EZ0077802118806,14.67,230.48,,"M4BIT",-215.81,1,YES,YES
0887167141230,"Creme de Olhos ESTÉE LAUDER Re-Nutriv Ultimate Diamond Transformative (15 ml)",EZ0887167141230,211.83,395.5,,"Strawberrynet",-183.67,1,YES,YES
0718037894157,"Western Digital Blue 3.5  8000 Gb Serial Ata Iii",EZ0718037894157,309.4,476.73,,"Network Technologies_PRT",-167.33,1,YES,YES
0817882022538,"Adaptador de Red Ubiquiti Poe-24-24W-Wh Branco",EZ0817882022538,24.07,179.27,179.55,"EuroHub",-155.2,2,YES,YES
0649528903532,"Memória RAM DDR4 CRUCIAL  (2 x 8 GB - 3200 MHz - Verde)",EZ0649528903532,39.9,167.97,,"Leasi",-128.07,1,YES,YES
3346132001247,"Perfume HERMÈS Eau De Mandarine Ambree Eau de Cologne (200 ml)",EZ3346132001247,116.86,239.78,,"M4BIT",-122.92,1,YES,YES
8436575050010,"Organic Bar Natruly Maçã 40 Gr",EZ8436575050010,12.41,118.23,,"Vegamar 360",-105.82,1,YES,YES
0649528942258,"P310 Ssd 4 Tb Interna M.2 2280 Pcie 4.0 X Crucial",EZ0649528942258,364.08,469.47,,"PC Imagine",-105.39,1,YES,YES
0649528906519,"Memória RAM DDR5 CRUCIAL Ct8G48C40S5 (8 GB - 4800Mhz)",EZ0649528906519,90.82,191.98,,"MS2 Digital",-101.16,1,YES,YES
0888874006027,"Sabonete BOND NO.9 NEW YORK Spring Fling Eau De Parfum Perfume (100ml)",EZ0888874006027,245.34,334.55,404.14,"MS2 Digital",-89.21,2,YES,YES
0768614149378,"Shiseido Vital Perfection Cream Spf30 50Ml",EZ0768614149378,100.87,187,,"mbotechpt",-86.13,1,YES,YES
0649528937780,"Memória Ram MICRON Micron Cp2K16G4Dfra32A 32 Gb Ddr4 Cl22",EZ0649528937780,81.88,167.09,,"Dampoo Store",-85.21,1,YES,YES
0747930059561,"Sérum de Rosto LA MER The Revitalizing Hydrating Serum (30 ml)",EZ0747930059561,218.62,303.01,303.23,"M4BIT",-84.39,3,YES,YES
0679602811231,"Perfume THE MERCHANT OF VENICE  Vinegia 21 Eau de Parfum (100 ml)",EZ0679602811231,282.96,365.87,,"EAstore",-82.91,1,YES,YES
8436584873242,"Sistema de alimentação ininterrupta interativo SALICRU Slc-8000-Twin Pro3 USB Rj45 8000 W",EZ8436584873242,2946.43,3026.26,,"TECH SALES",-79.83,1,YES,YES
0888874002029,"Perfume Feminino Astor Place BOND NO. 9 Eau de Parfum 3.3 Oz For Women 100 Ml",EZ0888874002029,247.18,323.31,,"M4BIT",-76.13,1,YES,YES
7611773086813,"Skin Caviar Essence In Foundation N10 Creme Peche 2x15ml/0.5oz La Prairie",EZ7611773086813,169.33,244.13,247.22,"Network Technologies_PRT",-74.8,3,YES,YES
4059312127208,"Impressora de Etiquetas TSC Da210 4Td 203 Dpisolo Usb Color Navy",EZ4059312127208,199.79,273.89,,"MINFO lda",-74.1,1,YES,YES
8806084403834,"Televisor LG 50Ur78006Lk 50 Led Ultrahd 4K Hdr10 Pro",EZ8806084403834,370.09,443.85,,"M4BIT",-73.76,1,YES,YES
9120137871388,"Online Description",EZ9120137871388,91.71,162.79,,"Network Technologies_PRT",-71.08,1,YES,YES
0194644173500,"Gan Universal Preto Ac Interior Anker",EZ0194644173500,51.81,122,199.53,"mbotechpt",-70.19,2,YES,YES
3253581767573,"L'OCCITANE Sabonete Líquido Karité Verbena 300ml",EZ3253581767573,23.88,87.46,,"M4BIT",-63.58,1,YES,YES
3386460138192,"Conjunto de Perfume Mulher JIMMY CHOO JIMMY CHOO 3 Peças",EZ3386460138192,94.05,155.88,,"Accesoralia",-61.83,1,YES,YES
0888874001169,"Perfume BOND NO. 9 NEW YORK Bond No Wall Street Eau De Parfum (50 ml)",EZ0888874001169,162.36,220.8,,"MS2 Digital",-58.44,1,YES,YES
0810084694480,"Caja de conexiones Ubiquiti Uacc Reader Jb W para lector Unifi Access  color blanco",EZ0810084694480,50.42,107,,"mbotechpt",-56.58,1,YES,YES
0747930040330,"Tónico de Rosto LA MER The (200ml)",EZ0747930040330,97.2,152.6,,"Strawberrynet",-55.4,1,YES,YES
7612017050119,"Sérum de Rosto VALMONT Hydration Moisturizing Serumulsion (30 ml)",EZ7612017050119,124.36,178.75,,"Network Technologies_PRT",-54.39,1,YES,YES
7612017159607,"Sérum V-firm Valmont 125 Ml",EZ7612017159607,213.7,267.74,,"Network Technologies_PRT",-54.04,1,YES,YES
8426017077897,"Set Esencia Edp 100Ml Mini 10Ml 7 Cob 10Ml@ LOEWE",EZ8426017077897,172.15,225.2,,"EAstore",-53.05,1,YES,YES
7612017905037,"Lelixir Des Glaciers Serum Majestueux Vos Yeux 15ml/0 5oz Valmont (embalagens aleatórias)",EZ7612017905037,394.97,446.61,477.63,"Network Technologies_PRT",-51.64,3,YES,YES
0765441654617,"Memória RAM  TEAMGROUP  (Preto)",EZ0765441654617,116.48,167.76,174.82,"Infopavon",-51.28,2,YES,YES
3274872411692,"Perfume GIVENCHY L'Interdit De Givenchy Intense Eau de Parfum (80 ml)",EZ3274872411692,98.25,149.5,,"Morele",-51.25,1,YES,YES
3700076456127,"Base De Maquillaje Hidratante Hyaluronic Hydra Spf 30",EZ3700076456127,59.4,109.08,,"EAstore",-49.68,1,YES,YES
8011003845385,"Desodorizante VERSACE (Multicor)",EZ8011003845385,44.61,94.16,,"M4BIT",-49.55,1,YES,YES
3349668613960,"Conjunto de Perfume Paco Rabanne Phantom 3 Peças",EZ3349668613960,106.95,155.85,,"Accesoralia",-48.9,1,YES,YES
8412428018017,"Conjunto Super Mario Bros 3 Peças CARTOON",EZ8412428018017,24.74,73.58,,"M4BIT",-48.84,1,YES,YES
4011700456048,"TABAC Tobacco Wild Ride Edt 125Ml",EZ4011700456048,20.98,68.6,,"M4BIT",-47.62,1,YES,YES
4044951037124,"Suporte para Placas Gráficas SHARKOON Vertical Graphics Card Kit 4.0",EZ4044951037124,72.72,120,,"mbotechpt",-47.28,1,YES,YES
0768614139164,"Creme de Rosto SHISEIDO Future Solution Lx Softener (170 ml)",EZ0768614139164,105.29,151.71,,"Network Technologies_PRT",-46.42,1,YES,YES
8426017077873,"Set Solo Edt 100Ml 10Ml 7 Anom 10Ml@ LOEWE",EZ8426017077873,145.67,191.58,,"EAstore",-45.91,1,YES,YES
0649528903501,"Memória RAM DDR4 CRUCIAL  (1 x 8 GB - 2666 MHz)",EZ0649528903501,36.11,82.01,,"O Teu Primo",-45.9,1,YES,YES
3253581760178,"Immortelle Mousse Nettoyante Précieuse L'OCCITANE EN PROVENCE 150 Ml",EZ3253581760178,33.77,78.64,,"M4BIT",-44.87,1,YES,YES
8000137016273,"Gel De Banho Naturais De Aloé Vera Equilibra 400 Ml",EZ8000137016273,15.19,57.26,,"M4BIT",-42.07,1,YES,YES
5901969403244,"Armário De Parede Lanberg 18u 19 Cinza Ral 7035 Trancável Bolsa Para Acessórios",EZ5901969403244,229.27,271.11,271.33,"M4BIT",-41.84,3,YES,YES
0000030152748,"Máscara de Pestanas Colossal Curl Waterproof Black MAYBELLINE NEW YORK emb. 1 un",EZ0000030152748,19.88,61.58,,"M4BIT",-41.7,1,YES,YES
8009432009089,"Toalhitas Corporais FRIA Ecocert Baby Wipes Softeners Com Tampa De 80 Unidades",EZ8009432009089,13.6,53.29,,"Network Technologies_PRT",-39.69,1,YES,YES
5397184478547,"Licença(s) Dell do Windows Server 2022 Essentials Edition 1",EZ5397184478547,442.53,481.4,,"M4BIT",-38.87,1,YES,YES
3274872336797,"Lápis de Lábios GIVENCHY Lip Liner N 3 Rose Taffetas",EZ3274872336797,31.65,70.5,,"M4BIT",-38.85,1,YES,YES
8886419377559,"Microfone RAZER Siren Elite",EZ8886419377559,81.13,119.78,120,"M4BIT",-38.65,2,YES,YES
4019674030226,"Sombra de Olhos ARTDECO Eyeshadow Pearl 22-Pearly Golden Facemel (0.8 g)",EZ4019674030226,13.69,51.55,,"M4BIT",-37.86,1,YES,YES
0768614118756,"Creme de Rosto SHISEIDO Creamy Cleansing Emulsão (200 ml)",EZ0768614118756,54.97,92.4,,"Accesoralia",-37.43,1,YES,YES
4549821188963,"Carregador HPE P02377-B21",EZ4549821188963,124.69,161.98,200.47,"GreaTecno",-37.29,2,YES,YES
6941921148508,"Mochila Hyperpack Pro Negra HYPERDRIVE",EZ6941921148508,202.38,239.61,239.62,"MS2 Digital",-37.23,3,YES,YES
